protein1	protein2	confidence
ANXA1	UCP2	0.234
ANXA1	UGT1A10	0.159
ANXA1	USPL1	0.488
ANXA1	WDCP	0.36
ANXA1	WWOX	0.284
ANXA11	ANXA3	0.78
ANXA11	C11orf54	0.417
ANXA11	HLA-DRA	0.188
ANXA11	HLA-DRB5	0.179
ANXA11	LDHA	0.435
ANXA11	PDHA1	0.423
ANXA11	PEF1	0.514
ANXA11	SRI	0.657
ANXA11	STXBP2	0.785
ANXA11	TFG	0.36
ANXA13	NEDD4	0.391
ANXA2	AHNAK	0.86
ANXA2	ANG	0.415
ANXA2	ANXA11	0.785
ANXA2	ANXA13	0.633
ANXA2	APOH	0.609
ANXA2	CAV2	0.483
ANXA2	CCR10	0.611
ANXA2	CD99	0.384
ANXA2	CDC42	0.771
ANXA2	CDK7	0.33
ANXA2	CDK9	0.357
ANXA2	CTSB	0.543
ANXA2	DNAJC8	0.183
ANXA2	DYSF	0.972
ANXA2	ERBB3	0.191
ANXA2	FBXL12	0.36
ANXA2	FLT1	0.41
ANXA2	H2AFX	0.171
ANXA2	HMGA1	0.189
ANXA2	HNF1A	0.392
ANXA2	LGALS13	0.372
ANXA2	LYPLA1	0.367
ANXA2	MAP3K4	0.376
ANXA2	MGMT	0.154
ANXA2	MYO18A	0.46
ANXA2	NCKAP1L	0.417
ANXA2	NPM1	0.373
ANXA2	PCBP2	0.445
ANXA2	PCNA	0.794
ANXA2	PCSK9	0.834
ANXA2	PHB	0.517
ANXA2	PLA1A	0.36
ANXA2	PLA2G4A	0.477
ANXA2	PLAT	0.978
ANXA2	PLG	0.985
ANXA2	PRDX2	0.561
ANXA2	PRKCB	0.415
ANXA2	RAB14	0.45
ANXA2	RPL11	0.529
ANXA2	S100A10	0.997
ANXA2	S100A4	0.772
ANXA2	SHC1	0.241
ANXA2	STAT6	0.385
ANXA2	SYNPO	0.172
ANXA2	TERT	0.264
ANXA2	TRPV5	0.725
ANXA2	VCAM1	0.273
ANXA2	WWOX	0.251
ANXA2	YWHAQ	0.175
ANXA3	ANXA4	0.521
ANXA3	PTPA	0.417
ANXA3	REG3A	0.36
ANXA3	SSNA1	0.417
ANXA4	EZH2	0.157
ANXA4	GP2	0.625
ANXA4	PADI4	0.51
ANXA5	ANXA1	0.45
ANXA5	BAG6	0.17
ANXA5	CCDC6	0.187
ANXA5	COL10A1	0.371
ANXA5	COL2A1	0.393
ANXA5	EED	0.369
ANXA5	EIF4G1	0.274
ANXA5	GCN1	0.417
ANXA5	HARS	0.503
ANXA5	HUWE1	0.271
ANXA5	IFNGR2	0.379
ANXA5	NDRG1	0.552
ANXA5	PPP2R2B	0.435
ANXA5	PPP4R2	0.638
ANXA5	PPP4R3B	0.184
ANXA5	PPP4R4	0.184
ANXA5	PPT2	0.507
ANXA5	PUM1	0.503
ANXA5	SUPT4H1	0.158
ANXA5	TERF2IP	0.185
ANXA5	TUBB	0.548
ANXA6	ADSS	0.181
ANXA6	CR2	0.36
ANXA6	GLB1L3	0.235
ANXA6	GOT1	0.347
ANXA6	H2AFX	0.156
ANXA6	HPRT1	0.384
ANXA6	IDH1	0.191
ANXA6	MSH2	0.417
ANXA6	MTAP	0.353
ANXA6	NAMPT	0.175
ANXA6	PLS3	0.323
ANXA6	POLE3	0.166
ANXA6	PPME1	0.181
ANXA6	RASA1	0.725
ANXA6	S100B	0.649
ANXA6	TBCB	0.417
ANXA6	THOP1	0.216
ANXA6	TPD52	0.693
ANXA6	TXN2	0.491
ANXA6	UBE2H	0.347
ANXA7	ANXA4	0.512
ANXA7	ATP5O	0.417
ANXA7	C11orf54	0.707
ANXA7	CD14	0.337
ANXA7	FAN1	0.155
ANXA7	MAPK8	0.235
ANXA7	PIR	0.774
ANXA7	PPIA	0.206
ANXA7	PPIH	0.166
ANXA7	PRKCB	0.334
ANXA7	S100A10	0.488
ANXA7	SRI	0.741
ANXA7	TTN	0.436
ANXA7	UBE3C	0.36
ANXA9	CD99L2	0.359
AOC1	CYB561A3	0.595
AOC1	FGD1	0.411
AOC1	HERC2	0.157
AOC1	SH2D4A	0.36
AOC1	SH3BP2	0.326
AP1AR	GGA1	0.377
AP1B1	ABCE1	0.378
AP1B1	AMPH	0.353
AP1B1	AP1G1	0.995
AP1B1	AP1M1	0.997
AP1B1	AP1M2	0.999
AP1B1	AP1S1	0.999
AP1B1	AP1S2	0.997
AP1B1	AP1S3	0.971
AP1B1	AP2A1	0.98
AP1B1	AP2A2	0.981
AP1B1	AP2M1	0.997
AP1B1	ARF6	0.361
AP1B1	ARHGAP1	0.417
AP1B1	ARRB2	0.597
AP1B1	ATM	0.491
AP1B1	ATR	0.495
AP1B1	BUB1	0.349
AP1B1	BUB1B	0.336
AP1B1	CABIN1	0.371
AP1B1	CBS	0.419
AP1B1	CCNL2	0.152
AP1B1	CLINT1	0.957
AP1B1	CLTC	0.976
AP1B1	CREBBP	0.34
AP1B1	DIABLO	0.224
AP1B1	EPN1	0.595
AP1B1	EPS15	0.8
AP1B1	FLNB	0.428
AP1B1	GTSE1	0.153
AP1B1	INTS9	0.368
AP1B1	KIF13A	0.846
AP1B1	LRFN4	0.256
AP1B1	NECAP2	0.8
AP1B1	NUMB	0.4
AP1B1	PIP5K1C	0.414
AP1B1	PNKD	0.208
AP1B1	PRKAB1	0.779
AP1B1	PRKDC	0.495
AP1B1	SIRT7	0.155
AP1B1	SNAP91	0.523
AP1B1	SNCA	0.341
AP1B1	SNW1	0.153
AP1B1	TBC1D2	0.373
AP1B1	TRIP10	0.355
AP1B1	TRMT61A	0.177
AP1B1	TTC37	0.443
AP1B1	UBA1	0.802
AP1B1	VAMP4	0.386
AP1B1	XPO1	0.196
AP1G1	AAGAB	0.26
AP1G1	AFTPH	0.869
AP1G1	AP1AR	0.783
AP1G1	AP1M2	0.992
AP1G1	AP1S1	0.995
AP1G1	AP1S2	0.994
AP1G1	AP2S1	0.911
AP1G1	CALY	0.36
AP1G1	DNAJC13	0.513
AP1G1	DNER	0.36
AP1G1	FLNB	0.452
AP1G1	GGA1	0.662
AP1G1	GTSE1	0.165
AP1G1	KIF13A	0.418
AP1G1	MAP1A	0.375
AP1G1	NECAP1	0.933
AP1G1	NPM3	0.164
AP1G1	PACS1	0.442
AP1G1	RAB14	0.541
AP1G1	SYNRG	0.822
AP1G1	SYP	0.415
AP1G1	TRIP10	0.347
AP1G2	AAGAB	0.261
AP1G2	AP1S1	0.995
AP1G2	NEDD4	0.383
AP1G2	SYNRG	0.941
AP1M1	AP1G1	0.996
AP1M1	AP1M2	0.93
AP1M1	AP1S1	0.999
AP1M1	AP1S2	0.998
AP1M1	AP2B1	0.985
AP1M1	C2	0.595
AP1M1	CORO7	0.36
AP1M1	CTLA4	0.413
AP1M1	DCP2	0.208
AP1M1	DCPS	0.774
AP1M1	DCX	0.364
AP1M1	EGFR	0.203
AP1M1	EHD2	0.391
AP1M1	GAK	0.96
AP1M1	GPRASP2	0.195
AP1M1	GRIN2A	0.334
AP1M1	GRIN2B	0.334
AP1M1	GTSE1	0.15
AP1M1	HEXIM1	0.383
AP1M1	KIF13A	0.418
AP1M1	LAMP1	0.349
AP1M1	MPZL2	0.608
AP1M1	MTF1	0.158
AP1M1	NECAP2	0.459
AP1M1	PIGR	0.391
AP1M1	RNASEH2A	0.779
AP1M1	RNASEH2B	0.783
AP1M1	RUNDC3A	0.54
AP1M1	SDCCAG3	0.574
AP1M1	SELP	0.36
AP1M1	SRPK2	0.163
AP1M1	TGOLN2	0.956
AP1M1	TMEM59	0.336
AP1M1	VAMP4	0.407
AP1M2	AP1G2	0.823
AP1M2	AP1S1	0.98
AP1M2	AP1S3	0.965
AP1M2	EGFR	0.244
AP1M2	MON1A	0.46
AP1M2	NECAP1	0.916
AP1M2	SCNN1B	0.325
AP1M2	TGOLN2	0.937
AP1S1	EGFR	0.177
AP1S1	GTSE1	0.18
AP1S2	AAGAB	0.193
AP1S2	ABCG1	0.24
AP1S2	AFTPH	0.855
AP1S2	AP1AR	0.506
AP1S2	AP1G2	0.993
AP1S2	AP1M2	0.975
AP1S2	AP1S1	0.934
AP1S2	NBEAL1	0.163
AP1S2	NUDT3	0.506
AP1S2	SLC43A3	0.15
AP1S2	SYNRG	0.827
AP1S2	TNS2	0.166
AP1S3	AAGAB	0.268
AP2A1	AAGAB	0.581
AP2A1	AAK1	0.968
AP2A1	ABCB11	0.416
AP2A1	AMPH	0.961
AP2A1	AP2A2	0.948
AP2A1	AP2B1	0.997
AP2A1	AP2S1	0.999
AP2A1	ARX	0.577
AP2A1	ATG9A	0.367
AP2A1	BRCA1	0.324
AP2A1	CAPZA2	0.16
AP2A1	CD22	0.397
AP2A1	CLTB	0.984
AP2A1	CLTC	0.984
AP2A1	DDX17	0.358
AP2A1	DEK	0.36
AP2A1	DPYSL2	0.929
AP2A1	EGFR	0.925
AP2A1	EHD1	0.576
AP2A1	EIF2B1	0.455
AP2A1	FCHO2	0.942
AP2A1	GAK	0.965
AP2A1	GHR	0.36
AP2A1	GTSE1	0.151
AP2A1	HIP1	0.942
AP2A1	LIMA1	0.161
AP2A1	LRFN4	0.236
AP2A1	MED23	0.279
AP2A1	MEX3C	0.189
AP2A1	MYO18A	0.214
AP2A1	MYO5C	0.642
AP2A1	NAGPA	0.36
AP2A1	NECAP2	0.991
AP2A1	NUMB	0.944
AP2A1	NUTF2	0.45
AP2A1	OCRL	0.97
AP2A1	PDLIM7	0.341
AP2A1	PICALM	0.975
AP2A1	PIN1	0.157
AP2A1	PPP1CB	0.253
AP2A1	RAB11FIP2	0.324
AP2A1	RNF11	0.201
AP2A1	SAR1A	0.203
AP2A1	SEC16A	0.419
AP2A1	SHC1	0.36
AP2A1	SNAP29	0.671
AP2A1	SYNJ1	0.97
AP2A1	SYNPO	0.153
AP2A1	SYT3	0.363
AP2A1	SYT7	0.342
AP2A1	TBC1D5	0.369
AP2A2	AAGAB	0.577
AP2A2	AMPH	0.944
AP2A2	AP1S1	0.951
AP2A2	AP2B1	0.997
AP2A2	AP2S1	0.999
AP2A2	CLTB	0.966
AP2A2	CLTC	0.977
AP2A2	DNAJC6	0.938
AP2A2	EGFR	0.911
AP2A2	GAK	0.983
AP2A2	GTSE1	0.478
AP2A2	LRFN4	0.23
AP2A2	MEX3C	0.189
AP2A2	NECAP2	0.978
AP2A2	NUMB	0.944
AP2A2	NUTF2	0.45
AP2A2	OCRL	0.94
AP2A2	PIP5K1C	0.455
AP2A2	SAR1A	0.18
AP2A2	SHC1	0.36
AP2A2	SNAP91	0.968
AP2B1	ADPRH	0.325
AP2B1	AFF4	0.16
AP2B1	AMPH	0.943
AP2B1	AP1G1	0.989
AP2B1	AP1M2	0.983
AP2B1	AP1S1	0.98
AP2B1	AP1S2	0.979
AP2B1	AP2S1	0.997
AP2B1	ATP23	0.18
AP2B1	ATP6V1G1	0.185
AP2B1	BUB1B	0.363
AP2B1	CLTB	0.978
AP2B1	COX5B	0.421
AP2B1	DHX58	0.152
AP2B1	DIEXF	0.161
AP2B1	EGFR	0.918
AP2B1	GAK	0.986
AP2B1	GTSE1	0.367
AP2B1	HIP1	0.938
AP2B1	ITSN1	0.999
AP2B1	LDLRAP1	0.953
AP2B1	LNPEP	0.239
AP2B1	MMS19	0.164
AP2B1	NECAP2	0.979
AP2B1	NUMB	0.421
AP2B1	NUP54	0.17
AP2B1	NUSAP1	0.335
AP2B1	OCRL	0.954
AP2B1	PIP5K1C	0.423
AP2B1	PLOD2	0.217
AP2B1	RAPGEF3	0.168
AP2B1	SEC24C	0.799
AP2B1	SHC1	0.164
AP2B1	SNAP91	0.958
AP2B1	TGOLN2	0.941
AP2B1	XPO7	0.246
AP2M1	AAK1	0.974
AP2M1	ABL1	0.175
AP2M1	ACACA	0.283
AP2M1	ADRA1B	0.395
AP2M1	ANKRD28	0.151
AP2M1	ANKRD52	0.162
AP2M1	ANLN	0.157
AP2M1	AP1G1	0.939
AP2M1	AP1G2	0.917
AP2M1	AP1S1	0.946
AP2M1	AP1S2	0.929
AP2M1	AP1S3	0.649
AP2M1	AP2A1	0.997
AP2M1	AP2A2	0.996
AP2M1	AP2B1	0.999
AP2M1	AP2S1	0.998
AP2M1	AQP4	0.293
AP2M1	ATG9A	0.415
AP2M1	BMP2K	0.727
AP2M1	C1orf226	0.169
AP2M1	CD22	0.61
AP2M1	CD3D	0.935
AP2M1	CENPJ	0.679
AP2M1	CHD8	0.211
AP2M1	CLEC4M	0.364
AP2M1	CLTB	0.968
AP2M1	CLTC	0.973
AP2M1	CORO1C	0.154
AP2M1	CORO7	0.36
AP2M1	CRK	0.15
AP2M1	CRY1	0.159
AP2M1	CTLA4	0.715
AP2M1	CTNND1	0.156
AP2M1	DBN1	0.171
AP2M1	DCX	0.367
AP2M1	DDX47	0.427
AP2M1	DGKI	0.417
AP2M1	DIEXF	0.162
AP2M1	EEF1A1	0.198
AP2M1	EGFR	0.924
AP2M1	EHD2	0.873
AP2M1	EPHA2	0.38
AP2M1	EPS15	0.943
AP2M1	EPS15L1	0.608
AP2M1	FASN	0.177
AP2M1	FCHO2	0.939
AP2M1	FURIN	0.451
AP2M1	GAK	0.982
AP2M1	GAPDH	0.409
AP2M1	GLP1R	0.184
AP2M1	GRIN2B	0.339
AP2M1	GTSE1	0.276
AP2M1	GULP1	0.232
AP2M1	HAT1	0.427
AP2M1	HPCA	0.155
AP2M1	HSPA1A	0.287
AP2M1	HSPA1L	0.262
AP2M1	HSPA9	0.242
AP2M1	IFNAR1	0.36
AP2M1	INTU	0.151
AP2M1	ITSN1	0.952
AP2M1	ITSN2	0.929
AP2M1	KCNJ11	0.369
AP2M1	KCNQ1	0.409
AP2M1	KIF13A	0.245
AP2M1	KRT1	0.154
AP2M1	KRT14	0.154
AP2M1	KRT16	0.154
AP2M1	KRT2	0.154
AP2M1	KRT5	0.154
AP2M1	KRT73	0.154
AP2M1	KRT77	0.156
AP2M1	LAMP1	0.396
AP2M1	LIMA1	0.179
AP2M1	LY9	0.36
AP2M1	MARCH3	0.195
AP2M1	MARK2	0.178
AP2M1	MASP1	0.194
AP2M1	MC1R	0.198
AP2M1	MEA1	0.222
AP2M1	MEGF10	0.643
AP2M1	MYO18A	0.191
AP2M1	MYO19	0.158
AP2M1	NAGPA	0.151
AP2M1	NDRG1	0.187
AP2M1	NECAP1	0.934
AP2M1	NECAP2	0.972
AP2M1	NOS1AP	0.151
AP2M1	NUMB	0.446
AP2M1	OCRL	0.937
AP2M1	OTUD6B	0.45
AP2M1	PDLIM7	0.219
AP2M1	PER1	0.159
AP2M1	PICALM	0.983
AP2M1	PJA2	0.2
AP2M1	PLRG1	0.503
AP2M1	PPP6R2	0.191
AP2M1	PRKACB	0.152
AP2M1	PRKAR1B	0.187
AP2M1	PRKDC	0.15
AP2M1	RAB7A	0.252
AP2M1	RALGAPA1	0.151
AP2M1	REXO1	0.188
AP2M1	RNF11	0.223
AP2M1	RPL38	0.223
AP2M1	RPS27A	0.914
AP2M1	RSPH14	0.235
AP2M1	RUVBL2	0.193
AP2M1	SFPQ	0.177
AP2M1	SFRP4	0.179
AP2M1	SHC1	0.153
AP2M1	SLC25A6	0.176
AP2M1	SNRPB	0.183
AP2M1	SNX29	0.181
AP2M1	SPECC1L	0.186
AP2M1	SPTBN1	0.202
AP2M1	STAU1	0.181
AP2M1	STK11	0.206
AP2M1	STON2	0.971
AP2M1	STX8	0.192
AP2M1	SV2A	0.151
AP2M1	SYNJ1	0.953
AP2M1	SYNPO	0.178
AP2M1	TBC1D5	0.364
AP2M1	TGOLN2	0.95
AP2M1	TMEM59	0.336
AP2M1	TNKS2	0.166
AP2M1	TUBA1A	0.223
AP2M1	TUBA1B	0.219
AP2M1	TUBA1C	0.26
AP2M1	TUBB	0.251
AP2M1	TUBB2A	0.242
AP2M1	TUBB4B	0.311
AP2M1	UBC	0.918
AP2S1	AAGAB	0.266
AP2S1	EGFR	0.909
AP2S1	NUMB	0.375
AP2S1	OCRL	0.935
AP2S1	POLQ	0.198
AP3B1	AGO3	0.29
AP3B1	ANK3	0.36
AP3B1	AP3D1	0.998
AP3B1	AP3M1	0.994
AP3B1	AP3S1	0.998
AP3B1	AP3S2	0.976
AP3B1	ARF1	0.965
AP3B1	ARF6	0.393
AP3B1	ARR3	0.53
AP3B1	ARRB1	0.951
AP3B1	ARRB2	0.534
AP3B1	ATM	0.601
AP3B1	ATR	0.576
AP3B1	BUB1	0.343
AP3B1	BUB1B	0.336
AP3B1	CDC73	0.807
AP3B1	CDK11A	0.785
AP3B1	CLTC	0.824
AP3B1	COG3	0.292
AP3B1	CSNK1A1	0.457
AP3B1	DLG3	0.196
AP3B1	DTNBP1	0.941
AP3B1	EPB41L3	0.16
AP3B1	JMJD6	0.417
AP3B1	KIF3A	0.466
AP3B1	LRRK2	0.618
AP3B1	LRSAM1	0.393
AP3B1	NLRP3	0.16
AP3B1	PELP1	0.774
AP3B1	PTBP3	0.236
AP3B1	SEPT7	0.39
AP3B1	SKA3	0.158
AP3B1	SLC30A3	0.619
AP3B1	SNX11	0.199
AP3B1	VTI1B	0.244
AP3B1	XPO1	0.221
AP3B1	YWHAZ	0.21
AP3B2	EDA	0.173
AP3D1	AP3B2	0.978
AP3D1	AP3S1	0.998
AP3D1	AP3S2	0.996
AP3D1	CALY	0.36
AP3D1	CDK11B	0.52
AP3D1	CTGF	0.285
AP3D1	DTNBP1	0.182
AP3D1	RBM25	0.462
AP3D1	RUFY1	0.361
AP3D1	SLC30A3	0.819
AP3D1	VPS33B	0.555
AP3D1	VPS39	0.718
AP3D1	VPS41	0.876
AP3M1	AGO3	0.173
AP3M1	AP3D1	0.997
AP3M1	AP3S1	0.978
AP3M1	AP3S2	0.941
AP3M1	AQP4	0.315
AP3M1	BRD4	0.435
AP3M1	CRMP1	0.325
AP3M1	DTNBP1	0.188
AP3M1	FAM9A	0.155
AP3M1	HLA-DMB	0.18
AP3M1	KIF11	0.217
AP3M1	PALM2	0.173
AP3M1	PSMB5	0.229
AP3M1	RABL6	0.193
AP3M1	RAP1B	0.21
AP3M1	RSPH14	0.206
AP3M1	RUFY1	0.347
AP3M1	SIPA1L2	0.332
AP3M1	TGOLN2	0.449
AP3M1	UBTF	0.417
AP3M1	VAMP7	0.474
AP3M1	VTI1B	0.16
AP3M1	WDR48	0.488
AP3M2	EDA	0.182
AP3S1	AP3B2	0.965
AP3S1	AP3S2	0.934
AP3S1	KRT7	0.177
AP3S1	RABL6	0.275
AP3S1	RUFY1	0.351
AP3S1	SLC30A3	0.664
AP4B1	BUB1B	0.34
AP4B1	ZNF576	0.275
AP4E1	AP4B1	0.999
AP4E1	ATXN7L2	0.722
AP4E1	POLG2	0.155
AP4M1	ACY1	0.157
AP4M1	AKT2	0.187
AP4M1	AP4B1	0.997
AP4M1	AP4E1	0.998
AP4M1	AP4S1	0.998
AP4M1	ATXN7L2	0.774
AP4M1	CACNG3	0.363
AP4M1	CD63	0.641
AP4M1	CDK11A	0.169
AP4M1	CDK11B	0.169
AP4M1	FYB1	0.36
AP4M1	GALNT2	0.598
AP4M1	GRID2	0.36
AP4M1	GRIN2A	0.325
AP4M1	GRIN2B	0.325
AP4M1	IMPDH2	0.652
AP4M1	LAMP2	0.36
AP4M1	LCMT2	0.17
AP4M1	MED20	0.326
AP4M1	MED31	0.784
AP4M1	RALBP1	0.542
AP4M1	SF3B2	0.308
AP4M1	TEPSIN	0.332
AP4M1	TFB1M	0.155
AP4M1	TGOLN2	0.434
AP4M1	TIMM29	0.163
AP4M1	USP47	0.366
AP4M1	WDR76	0.155
AP4M1	ZNF318	0.155
AP4S1	AP4B1	0.998
AP4S1	AP4E1	0.999
AP4S1	GALNT2	0.704
AP4S1	TIMM29	0.605
AP5B1	ARHGAP25	0.173
AP5B1	KCNRG	0.157
AP5M1	AP5B1	0.94
AP5M1	SPG11	0.515
AP5S1	AP5B1	0.993
AP5S1	AP5M1	0.94
APBA2	CLSTN1	0.431
APBA2	CLSTN3	0.36
APBA2	NECAB3	0.895
APBA3	EGFR	0.443
APBB1	ABI1	0.479
APBB1	APBB2	0.683
APBB1	APLP1	0.748
APBB1	APLP2	0.962
APBB1	CCDC97	0.157
APBB1	CHERP	0.157
APBB1	CLSTN1	0.392
APBB1	CYFIP1	0.174
APBB1	CYFIP2	0.157
APBB1	DDX46	0.157
APBB1	DIAPH1	0.173
APBB1	DIAPH2	0.157
APBB1	EGFR	0.224
APBB1	ENAH	0.647
APBB1	EVL	0.52
APBB1	JAG1	0.391
APBB1	KAT5	0.982
APBB1	KHSRP	0.157
APBB1	MGRN1	0.368
APBB1	NEURL1	0.377
APBB1	NOTCH1	0.728
APBB1	PCGF6	0.179
APBB1	PQBP1	0.186
APBB1	PRNP	0.501
APBB1	QTRT1	0.774
APBB1	RBM17	0.157
APBB1	SART3	0.36
APBB1	SF1	0.16
APBB1	SF3B4	0.181
APBB1	SLAMF7	0.187
APBB1	TSHZ1	0.326
APBB1	TSHZ2	0.288
APBB1	TSHZ3	0.311
APBB1	WASF2	0.378
APBB1	WASL	0.402
APBB1	WBP11	0.157
APBB1	WIPF1	0.178
APBB1	WIPF2	0.418
APBB1IP	ANXA13	0.619
APBB1IP	PFN2	0.86
APBB1IP	PLEKHH1	0.608
APBB2	AKAP1	0.187
APBB2	ATP7A	0.167
APBB2	EGFR	0.197
APBB2	OSBPL2	0.183
APBB2	QTRT1	0.594
APBB2	SYDE2	0.205
APBB2	TBC1D2B	0.18
APBB2	TBC1D4	0.159
APBB2	WISP3	0.159
APBB3	APLP2	0.923
APBB3	DAPP1	0.154
APC	ACTN1	0.19
APC	AKAP13	0.295
APC	AMER1	0.978
APC	AMER2	0.324
APC	AMER3	0.324
APC	ANKRD17	0.306
APC	AP2B1	0.188
APC	ARHGAP10	0.164
APC	ARHGAP21	0.175
APC	ARHGEF4	0.952
APC	ASAP1	0.453
APC	AXIN1	0.997
APC	AXIN2	0.993
APC	BAAT	0.165
APC	BBX	0.225
APC	BTRC	0.962
APC	BUB1	0.708
APC	BUB1B	0.559
APC	BUB3	0.602
APC	COG5	0.273
APC	COPS5	0.358
APC	CREBBP	0.296
APC	CSNK1A1	0.944
APC	CSNK2B	0.61
APC	CTBP1	0.952
APC	CTNNA1	0.934
APC	CTNNBIP1	0.832
APC	CYTH2	0.169
APC	DLG3	0.42
APC	DLGAP1	0.353
APC	DVL1	0.954
APC	EPAS1	0.163
APC	FAM20C	0.151
APC	FAM214A	0.192
APC	FBLN7	0.369
APC	FBXO30	0.202
APC	FBXW11	0.203
APC	FIG4	0.187
APC	GIGYF2	0.286
APC	HECTD1	0.492
APC	HTRA2	0.417
APC	IQGAP1	0.649
APC	JUP	0.989
APC	KHDRBS1	0.36
APC	KIAA1328	0.241
APC	KIF7	0.151
APC	KIFAP3	0.458
APC	KRT14	0.173
APC	KRT23	0.164
APC	LIN7C	0.192
APC	LRP8	0.36
APC	MACF1	0.41
APC	MAD1L1	0.17
APC	MAD2L1	0.356
APC	MAP2K1	0.156
APC	MAPRE1	0.556
APC	MAPRE2	0.479
APC	MARK2	0.238
APC	MBD4	0.2
APC	MBD5	0.234
APC	MUC1	0.397
APC	NUP107	0.611
APC	NUP214	0.249
APC	NUP54	0.19
APC	NUP58	0.179
APC	NUP98	0.227
APC	PCNA	0.4
APC	PKP2	0.246
APC	PNISR	0.188
APC	PPP2R5A	0.937
APC	PROCR	0.363
APC	PSMD1	0.909
APC	PTBP3	0.21
APC	PTK2	0.443
APC	PTPN13	0.412
APC	PXN	0.418
APC	RBM4B	0.154
APC	RNF146	0.393
APC	RP1	0.369
APC	RPA2	0.36
APC	SAV1	0.222
APC	SCRIB	0.393
APC	SETDB1	0.159
APC	SIAH1	0.97
APC	SMAD1	0.158
APC	SPATA13	0.946
APC	SPECC1L	0.281
APC	SPTBN1	0.167
APC	SPTBN2	0.196
APC	STRN	0.411
APC	STRN3	0.352
APC	STRN4	0.285
APC	SYNE1	0.232
APC	TAF1	0.268
APC	TFDP2	0.36
APC	TGFB1	0.22
APC	TMEFF1	0.151
APC	TNKS	0.447
APC	TPR	0.2
APC	TUBA4A	0.376
APC	UBC	0.912
APC	ZNF106	0.218
APC	ZNF510	0.21
APC	ZRANB1	0.957
APC2	APOC2	0.326
APC2	BUB1B	0.281
APCS	FCGR1A	0.489
APCS	FCGR3B	0.349
APCS	TG	0.417
APEH	CYHR1	0.316
APEH	LGALS8	0.325
APEH	PREPL	0.571
APEH	SERPINE2	0.198
APEH	SNX6	0.157
APEH	STAT1	0.176
APEH	TBCD	0.185
APEX1	ABCB1	0.431
APEX1	ANP32A	0.981
APEX1	ARIH2	0.194
APEX1	ASCL2	0.329
APEX1	BUB3	0.481
APEX1	CAPNS1	0.203
APEX1	CCDC124	0.164
APEX1	CCNL1	0.158
APEX1	CFAP74	0.326
APEX1	CGGBP1	0.774
APEX1	CLVS2	0.417
APEX1	EEF2	0.281
APEX1	EGFR	0.338
APEX1	ELOC	0.169
APEX1	EP300	0.51
APEX1	FCGR2A	0.256
APEX1	FEN1	0.986
APEX1	GADD45A	0.536
APEX1	GCAT	0.152
APEX1	GZMA	0.973
APEX1	GZMK	0.406
APEX1	HDAC3	0.437
APEX1	HMGA1	0.189
APEX1	HMGA2	0.552
APEX1	HMGB1	0.54
APEX1	HMGB2	0.976
APEX1	HNRNPK	0.286
APEX1	HNRNPL	0.436
APEX1	HNRNPR	0.199
APEX1	HNRNPUL1	0.202
APEX1	HSPA1A	0.525
APEX1	HSPA1B	0.427
APEX1	ILF2	0.623
APEX1	INSR	0.175
APEX1	KLHL36	0.374
APEX1	KPNA3	0.219
APEX1	MCM2	0.385
APEX1	MCM6	0.357
APEX1	MCM7	0.468
APEX1	METTL1	0.444
APEX1	MORF4L1	0.157
APEX1	MORF4L2	0.214
APEX1	MRE11	0.557
APEX1	MUTYH	0.99
APEX1	NAE1	0.308
APEX1	NPM1	0.496
APEX1	NXF1	0.444
APEX1	NXF2	0.389
APEX1	ORC2	0.281
APEX1	OTUD6B	0.444
APEX1	PABPC1	0.254
APEX1	PAPSS2	0.265
APEX1	PCNA	0.993
APEX1	PDE12	0.437
APEX1	POLB	0.976
APEX1	PRDX6	0.413
APEX1	PRKDC	0.512
APEX1	PRPF19	0.368
APEX1	PSMG1	0.268
APEX1	RIC8A	0.18
APEX1	RNF4	0.413
APEX1	RPA1	0.938
APEX1	RPA2	0.924
APEX1	RPA3	0.913
APEX1	RPSA	0.417
APEX1	SET	0.982
APEX1	SNRPD1	0.539
APEX1	SRPK1	0.151
APEX1	SRPK2	0.151
APEX1	TERF2	0.325
APEX1	TERF2IP	0.155
APEX1	TRAF2	0.36
APEX1	TWF2	0.178
APEX1	TXNRD1	0.549
APEX1	WDR77	0.376
APEX1	XPOT	0.215
APEX1	XRCC1	0.922
APEX1	XRCC5	0.657
APEX1	YAP1	0.415
APEX1	ZDHHC17	0.195
APEX1	ZFR2	0.425
API5	ACIN1	0.693
API5	ADSL	0.187
API5	CDSN	0.36
API5	CHD1L	0.386
API5	DDX27	0.534
API5	DRG2	0.351
API5	EED	0.159
API5	EHD1	0.347
API5	EZH1	0.155
API5	EZH2	0.19
API5	FGF2	0.691
API5	GTF3C4	0.18
API5	IMPDH2	0.424
API5	MLH1	0.43
API5	NAA38	0.417
API5	NT5C2	0.178
API5	NUBP1	0.221
API5	PPP2R5C	0.447
API5	XPNPEP1	0.34
API5	XRN2	0.439
APIP	APAF1	0.814
APIP	ARMT1	0.462
APIP	DSG4	0.16
APIP	FASTKD2	0.205
APIP	HEPHL1	0.171
APIP	IMPDH2	0.499
APIP	ISCA2	0.223
APIP	LYG2	0.18
APIP	NDE1	0.41
APIP	SNHG28	0.158
APIP	UBA3	0.421
APIP	VPS25	0.166
APIP	WDYHV1	0.19
